
# nbCell
	200

# number of players
	10000

# position of players
334	214	3	17
62	-338	2	15
346	294	1	9
-314	370	3	7
-38	226	4	3
106	-278	1	6
290	218	1	11
274	-306	4	9
330	-114	3	2
94	-102	4	15
118	-278	3	2
-166	338	2	7
374	374	1	11
-230	-362	2	13
-314	310	4	4
150	30	3	4
62	-366	3	13
106	330	4	0
226	-398	2	2
282	-382	1	1
22	-46	2	4
110	74	1	5
-214	-218	2	13
-170	282	1	15
330	10	2	14
270	-266	3	4
-226	-82	3	7
-366	-138	1	18
354	86	1	3
-194	-54	3	19
130	-398	1	16
274	-266	4	12
-294	-326	3	14
158	50	4	10
-262	170	3	7
-394	-134	2	2
70	134	1	12
226	-14	2	0
-54	314	2	5
-42	-194	1	19
-238	-370	2	11
70	-162	2	11
-74	-290	4	9
110	22	4	16
-10	10	2	6
262	-338	3	3
-322	274	1	8
-114	142	1	9
14	210	4	10
274	334	1	15
162	-126	2	16
94	-14	3	5
-214	342	4	1
222	330	4	8
258	46	1	1
202	-246	2	0
-262	-342	1	4
58	302	4	16
174	126	4	7
262	-166	4	16
-270	-230	4	17
-286	14	4	7
-102	-30	2	18
382	-286	2	17
-258	-166	2	18
-286	110	4	11
114	82	2	16
-382	350	4	3
-346	-294	3	6
-238	-338	1	18
114	-302	1	9
70	-158	2	16
98	334	4	10
334	-242	3	19
290	206	2	4
362	-310	2	19
218	-58	3	9
-70	38	3	4
390	-202	4	15
-382	-178	1	11
-310	126	1	19
174	254	3	8
162	-286	3	11
-358	122	2	1
-154	-114	3	18
22	174	1	16
-222	-390	3	2
-138	-70	1	16
-70	234	3	4
-250	246	3	4
-398	346	1	12
-2	-238	4	10
-126	-150	4	13
126	258	2	10
134	222	3	0
254	198	4	1
-2	-178	1	19
294	-274	2	8
362	-142	4	6
-134	-330	1	0
-38	-42	1	16
170	90	1	7
-218	-350	1	19
-326	30	4	12
194	-66	1	19
-362	-42	1	10
170	274	4	6
6	-386	2	12
86	94	4	19
398	310	2	4
158	-318	4	0
-130	-314	2	8
110	178	3	4
-166	-334	1	4
-310	350	2	16
-74	118	3	4
-30	-386	1	12
-198	-278	2	5
-310	-26	4	0
-230	278	3	13
-6	-246	3	4
362	-50	2	1
-322	222	1	12
222	178	3	4
318	394	2	13
306	-34	3	15
-158	362	3	19
-62	282	2	5
-314	-154	4	4
-346	186	2	14
106	-226	4	4
-390	-166	3	6
338	66	2	2
-126	-218	1	9
-110	222	1	18
-6	190	1	8
214	46	1	3
134	-266	2	8
-38	142	3	7
186	166	1	9
2	-290	3	8
390	-194	2	10
14	-266	2	3
-10	150	2	12
-54	246	2	12
386	122	4	8
230	218	2	16
-158	-250	3	1
-158	-210	1	8
-290	-162	3	8
226	-150	3	14
-10	46	4	3
-242	-22	3	8
-386	270	1	1
-210	46	3	19
206	98	4	14
158	-86	1	15
110	-322	1	9
-202	-2	1	5
-282	-330	4	15
310	-62	1	18
286	242	2	9
270	94	1	12
382	-114	4	4
-282	-58	3	2
162	94	2	9
-294	122	1	1
-230	-322	1	17
-306	-162	2	1
38	274	3	5
386	22	4	17
-262	-86	3	6
98	310	2	14
274	-262	2	18
50	274	3	0
186	314	3	14
66	302	1	18
118	130	3	10
-210	-54	3	11
-78	18	4	13
-170	-218	4	12
-54	362	3	15
50	-270	3	12
-82	10	3	9
358	278	3	15
-234	246	1	13
350	-378	1	18
266	310	3	4
-174	62	2	6
-158	154	2	17
-378	-146	4	17
74	230	2	3
-106	-338	3	13
-42	314	4	7
-86	190	2	14
-114	110	2	0
-162	130	3	18
-298	38	1	14
-266	-226	2	1
-26	330	3	10
-2	-214	2	19
278	-310	4	2
378	-174	2	7
-274	-330	3	2
362	14	1	11
-170	298	4	1
230	-322	3	11
190	362	4	11
-314	-302	2	0
-182	298	3	18
102	-306	2	16
66	130	3	11
158	-122	1	4
154	-46	1	18
-314	-382	3	2
-350	-98	4	17
-58	146	1	4
306	318	4	7
238	-394	2	4
-2	-270	4	7
202	-78	1	0
-326	242	2	3
-222	-26	4	5
138	-398	4	15
222	-378	3	9
274	-74	2	18
-378	-258	3	2
330	-338	2	10
-26	-262	3	6
374	-130	3	13
174	190	3	14
54	106	4	17
250	-294	4	8
78	-258	3	12
-22	-206	2	6
-258	394	2	11
214	-102	4	13
114	-126	2	11
42	-134	3	17
-254	-338	4	15
-38	-142	3	10
18	-298	4	1
-266	206	2	9
-106	138	1	11
-378	2	3	8
14	70	2	6
382	358	4	9
82	378	4	6
254	266	2	16
326	322	2	0
-254	18	4	10
74	-270	4	2
130	350	1	19
86	-146	3	4
290	-82	4	14
-238	-242	4	12
394	-146	3	3
190	194	3	10
294	190	3	19
90	50	4	4
-70	-102	4	12
-382	-186	3	3
-6	162	3	0
-86	314	4	2
-150	-386	4	1
-206	2	4	4
-110	-126	3	14
142	254	2	17
262	-186	4	11
306	-234	2	18
6	26	4	13
134	202	4	19
114	-334	3	17
82	-174	1	8
138	-306	3	11
306	-326	3	15
-190	378	4	9
238	170	3	10
-334	-182	1	9
158	70	1	18
38	38	2	1
58	218	3	9
-294	10	4	7
-306	94	4	11
130	70	3	1
-98	322	3	19
362	70	3	10
126	-222	2	17
-22	-30	2	1
-386	-294	1	13
330	242	2	7
-338	-390	1	5
-382	290	3	12
206	-210	2	12
138	-382	2	6
-338	-210	2	8
382	-10	4	2
-10	-246	4	16
218	398	2	9
350	-50	1	2
-314	98	3	3
-158	-178	3	11
-58	-354	3	5
122	-218	3	3
58	-346	1	16
-318	82	1	5
114	-310	4	5
-38	50	1	0
-326	206	4	17
114	382	3	1
42	314	4	8
-298	-286	4	10
-250	-70	2	8
90	-154	4	10
-170	26	2	7
106	218	2	11
-194	266	2	10
114	-10	4	18
-46	362	3	13
310	230	3	16
398	-302	1	11
-50	278	2	19
-170	386	3	12
-330	58	2	15
274	214	3	4
382	138	1	5
-134	94	1	14
114	-250	1	13
-86	54	2	15
-110	206	3	5
-398	-102	2	17
-66	-366	1	7
330	-366	2	13
138	14	4	14
-314	230	4	5
230	342	3	1
250	26	1	1
66	246	1	10
-150	-74	3	19
-330	-326	3	13
-338	-382	3	11
258	-326	3	3
-34	-50	1	17
150	130	4	8
-114	382	1	7
-174	-318	3	1
282	322	1	5
46	-310	2	17
246	-146	4	11
50	118	1	6
-246	166	4	4
-42	170	1	14
18	78	4	19
166	-122	1	18
278	102	1	10
226	-238	1	0
-202	266	3	5
58	-286	3	6
334	-2	4	9
142	-30	1	1
374	314	3	9
38	-202	4	13
-142	-86	4	8
-18	114	2	13
-266	-138	3	9
222	14	4	13
-126	-370	1	0
134	-58	4	6
286	138	3	17
162	398	2	1
246	146	3	3
-198	198	1	14
-98	-22	1	2
-302	-314	4	19
-42	74	1	9
-246	174	4	16
334	294	4	13
174	274	1	16
326	282	4	6
-354	-162	4	12
370	198	2	2
-126	-338	4	2
298	338	4	18
-334	294	4	17
-50	-110	1	13
230	-378	3	5
134	-278	2	16
-326	130	2	13
106	166	3	0
374	294	2	8
22	154	3	9
238	-190	3	0
250	110	1	19
-78	-86	2	2
-358	-262	1	6
334	-150	2	0
34	-74	4	18
230	150	2	11
42	-14	1	5
-38	46	2	11
-246	326	3	1
-130	-154	2	11
322	78	4	15
-2	-278	1	8
218	-182	3	9
-270	34	2	10
294	154	3	13
-146	206	4	19
-22	-2	2	19
206	354	4	4
170	-234	3	6
62	-150	2	15
346	-202	2	11
-262	-314	2	7
90	146	4	13
-226	6	4	2
218	94	1	4
158	-202	4	3
-326	-350	2	12
-122	294	2	4
134	-54	4	14
-322	102	4	15
-50	178	2	9
-198	-50	4	2
-250	-338	3	9
-358	326	2	0
18	-134	4	17
-282	202	4	16
-30	362	2	2
-378	-74	4	19
246	294	1	18
-210	-290	1	5
-70	102	4	19
206	-310	2	6
214	194	3	8
378	306	1	6
30	-342	1	17
-142	-394	2	0
-78	30	3	14
218	-126	4	17
134	-258	1	17
50	-126	4	17
38	-134	2	16
-366	-234	2	5
382	-258	3	11
-18	-326	2	19
-394	-98	1	12
286	270	1	5
174	166	1	11
-42	-282	4	6
-86	-378	1	10
386	298	1	13
-346	-86	3	19
282	-66	3	8
62	-102	2	2
-242	-54	2	3
394	-62	3	19
-390	274	2	11
114	-102	2	4
286	-290	3	3
154	38	2	15
162	50	2	12
-294	-146	3	18
102	-114	1	12
-218	-354	1	6
158	-266	4	3
-386	46	2	5
170	-150	1	19
298	18	1	16
122	254	4	14
-346	-42	2	19
-158	222	3	12
-270	-358	1	19
362	162	2	15
-18	-386	3	7
166	-254	2	10
306	-98	1	4
-394	382	4	0
-30	-390	2	16
-238	-330	4	3
142	-114	1	13
-374	346	1	3
-194	154	2	11
122	350	4	4
262	-262	3	2
-298	286	4	11
190	-50	4	4
126	-142	2	19
126	-38	2	8
-290	-170	3	19
174	-350	2	3
350	398	4	3
-246	150	1	14
82	174	1	18
-54	310	3	12
-146	270	3	15
-358	-182	2	19
170	78	3	18
-298	-290	1	18
-186	-58	3	17
194	66	4	12
66	390	3	12
238	298	2	0
214	150	2	12
-386	-62	4	11
30	-362	3	9
218	218	2	6
138	-246	4	5
-286	310	2	3
-266	-74	4	0
326	394	3	5
-10	382	1	17
-366	350	2	9
54	174	4	14
66	-286	3	5
302	-174	2	6
122	-358	3	12
-334	-134	2	9
210	-394	2	6
62	-30	4	13
306	246	4	13
-294	298	1	2
346	326	2	3
2	98	1	17
-334	210	4	2
178	-290	1	0
-294	-178	3	5
378	166	4	14
186	170	1	13
-150	-262	4	6
-230	-278	1	14
-370	2	3	14
-122	382	1	15
338	-158	1	4
330	-226	2	11
66	-394	2	3
-250	338	4	1
-390	386	2	0
-46	-82	4	0
166	322	2	4
-286	266	4	8
250	338	3	10
386	-38	4	6
-354	-358	1	15
-50	-130	3	12
-38	354	3	13
-266	-234	4	0
-22	250	2	13
-182	-258	3	4
-98	170	4	18
206	-214	4	13
-354	102	2	8
-74	226	2	3
-2	150	2	15
-342	298	1	9
186	-166	4	12
366	-266	1	11
-306	146	4	17
-254	42	2	19
-74	134	1	14
286	-166	4	18
386	-10	3	3
258	206	4	17
-398	-118	4	14
142	-6	2	10
-170	50	1	9
118	-10	4	10
-30	-106	4	9
198	-246	4	2
162	-42	1	3
-178	354	4	6
-298	158	1	13
-158	34	1	0
-382	14	4	3
162	-390	2	6
390	62	2	7
-86	-278	1	9
282	18	4	18
82	170	4	1
-158	-274	4	16
-130	-246	4	2
-30	314	4	15
214	-50	4	8
-150	-38	1	15
394	178	1	8
306	-46	2	13
-50	102	3	13
-170	-282	2	3
118	362	1	4
170	-238	1	12
-362	-86	4	7
-182	-98	3	14
238	326	2	2
294	-38	2	18
286	-262	2	18
-2	162	3	4
222	46	2	10
322	226	4	3
-386	146	1	0
