
# nbCell
	100

# number of players
	0

# position of players

# number of obstacles
	9999

# position of obstacles
93	83
8	86
27	77
69	15
77	93
83	35
53	86
4	92
66	49
14	21
23	62
0	27
86	90
0	59
77	63
39	26
5	40
34	26
91	72
57	36
52	11
53	68
25	67
64	29
57	82
15	30
28	62
51	23
40	67
31	35
39	29
98	2
40	22
30	58
30	69
81	67
13	93
84	56
50	11
80	42
62	29
73	73
44	21
49	19
37	84
85	37
51	98
43	24
83	15
43	70
64	13
35	26
60	91
89	80
99	56
18	73
68	62
91	70
69	96
72	81
23	5
9	25
70	84
63	27
3	36
65	5
8	46
17	29
13	13
58	57
61	24
38	95
95	82
5	45
88	14
33	67
54	34
3	64
40	43
37	50
10	87
68	8
72	76
71	78
57	88
35	84
54	3
26	51
27	54
23	99
99	32
50	60
96	76
33	68
77	39
0	12
62	26
85	86
80	94
75	39
7	95
5	70
14	34
3	78
74	67
66	1
0	97
29	2
33	17
66	52
7	56
73	1
2	80
42	86
94	41
38	65
96	89
84	44
66	19
84	40
47	29
80	31
81	17
80	97
57	71
44	81
6	75
7	9
89	27
45	67
78	56
94	97
23	53
45	86
69	65
53	6
46	83
62	19
86	24
15	28
28	71
57	32
88	29
95	3
0	19
82	70
97	8
67	15
63	40
81	49
77	96
7	23
26	18
22	45
28	46
34	51
29	21
35	55
23	79
74	88
77	64
82	28
98	41
23	50
51	93
15	0
70	34
1	24
49	14
69	87
58	56
37	43
64	91
22	27
83	65
98	59
19	36
14	32
25	51
64	37
92	28
32	75
54	7
14	74
61	21
88	58
43	95
60	29
12	37
82	35
37	93
58	18
44	28
61	43
10	11
59	28
95	29
87	76
24	4
44	43
57	63
46	13
45	38
86	6
68	40
29	4
48	18
51	28
6	88
73	69
79	17
99	17
33	24
77	43
94	70
21	83
84	90
54	99
97	72
67	25
56	44
55	90
75	5
81	39
29	54
97	86
76	69
80	82
85	42
84	64
1	97
95	7
93	55
88	4
63	48
86	11
36	22
78	28
92	99
73	43
57	46
55	68
43	40
54	22
33	11
38	10
76	5
18	1
56	61
37	30
48	78
13	5
93	20
87	36
94	44
86	26
85	22
34	65
67	8
34	16
82	82
32	58
29	24
76	37
20	62
56	24
26	0
20	36
34	52
18	99
93	79
55	50
74	68
0	71
9	73
71	31
38	81
49	30
89	33
58	94
86	60
1	63
71	99
79	81
88	99
29	96
29	59
37	73
28	13
96	68
71	90
10	95
29	26
64	66
50	84
13	40
20	90
76	84
33	76
55	42
59	36
91	7
74	45
97	56
91	79
84	18
68	87
94	12
33	48
21	72
16	59
20	9
23	36
52	10
63	42
75	87
82	6
93	1
77	13
73	72
53	21
12	55
48	19
45	99
77	21
99	4
59	39
98	11
39	40
56	67
17	5
62	28
11	27
91	50
59	84
66	58
39	20
92	24
24	22
72	69
13	96
40	81
56	30
0	84
92	92
19	72
76	72
38	50
76	25
53	85
12	22
66	40
60	42
38	98
7	13
22	98
61	90
5	24
25	90
82	9
85	81
88	19
93	36
77	32
11	55
59	94
80	4
3	79
47	69
52	73
17	76
88	50
72	55
18	60
81	42
55	79
58	84
19	93
32	5
76	21
95	67
25	4
6	13
19	61
13	26
42	59
89	44
82	2
32	2
35	6
67	84
20	21
28	42
8	68
95	28
51	89
88	72
99	8
99	58
4	98
80	36
88	8
77	53
62	48
33	3
33	33
21	33
16	48
28	90
97	54
75	67
17	46
3	68
45	0
80	46
37	88
97	97
62	49
69	90
30	33
53	63
24	97
2	53
48	92
76	86
91	25
11	52
39	96
59	75
91	88
91	57
37	29
54	36
24	60
34	14
39	21
4	60
63	4
0	28
80	27
80	50
67	48
75	56
89	2
47	94
76	97
86	99
10	43
10	39
20	2
4	28
64	3
6	81
76	47
85	38
61	59
51	51
25	35
21	34
43	39
16	92
22	15
61	27
5	4
56	29
0	49
9	64
82	85
53	43
63	35
31	77
29	0
52	38
79	71
69	49
2	89
53	67
79	88
22	92
57	95
7	43
31	44
28	29
83	90
16	82
53	40
35	41
5	69
38	26
42	32
22	61
3	60
91	17
80	23
67	61
0	81
63	9
31	90
54	25
89	96
63	67
46	77
42	34
6	90
16	26
45	24
60	57
96	14
31	68
82	5
3	58
63	12
73	86
51	0
43	46
27	26
49	94
49	16
65	52
55	78
35	29
89	46
22	90
26	47
69	70
90	51
90	80
96	31
85	93
8	57
86	27
13	12
18	86
92	14
83	55
35	12
0	90
44	12
94	79
96	10
89	69
61	89
22	74
63	55
76	41
66	20
54	33
89	87
78	88
83	38
45	66
77	70
72	84
68	56
4	17
6	6
22	60
58	49
2	37
72	5
30	59
52	17
85	18
49	45
7	83
68	73
84	58
8	73
42	89
4	83
66	7
4	78
27	57
93	14
